Hour,Stop_id,Trip_type,Train_Type,Train_number,Platform,Passed_Stations,Stations,Arrival,Departure
10,-6855033525078663094-2410280954-2,N,RE,22353,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410281001,2410281003
10,1792018567969993078-2410281053-1,S,S,39139,3,null,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf,null,2410281053
10,-695901279595069901-2410281020-2,N,RE,22309,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410281028,2410281030
10,-4721638554045254584-2410280912-19,S,S,39132,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410281013,2410281014
10,3126629207188975141-2410281040-3,N,RE,22366,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410281054,2410281055
10,-1687021620302478981-2410280932-19,S,S,39134,2,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf|Nürnberg-Steinbühl|Nürnberg Rothenburger Str.|Fürth(Bay)Hbf|Fürth-Klinikum|Vach|Eltersdorf|Erlangen-Bruck|Erlangen Paul-Gossen-Straße,Bubenreuth|Baiersdorf|Kersbach|Forchheim(Oberfr),2410281034,2410281035
10,7363454306574408371-2410281006-5,S,S,39135,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410281018,2410281019
10,-2369274048609461141-2410281010-3,N,RE,22308,1,Nürnberg Hbf|Fürth(Bay)Hbf,Forchheim(Oberfr),2410281025,2410281027
10,-3363546438963331650-2410281028-5,S,S,39137,3,Forchheim(Oberfr)|Kersbach|Baiersdorf|Bubenreuth,Erlangen Paul-Gossen-Straße|Erlangen-Bruck|Eltersdorf|Vach|Fürth-Klinikum|Fürth(Bay)Hbf|Nürnberg Rothenburger Str.|Nürnberg-Steinbühl|Nürnberg Hbf|Feucht|Feucht Ost|Ochenbruck|Mimberg|Burgthann|Oberferrieden|Postbauer-Heng|Pölling|Neumarkt(Oberpf),2410281040,2410281041
11,-6097491654767957847-2410281054-2,N,RE,22369,4,Forchheim(Oberfr),Fürth(Bay)Hbf|Nürnberg Hbf,2410281101,2410281103
